orientation,h,k,l,thickness_A,I_with_abs,I_without_abs,L_factor
orientation_1,5,9,-7,840.0,2.8045268325800357e-05,7.263864774661369e-05,4.61497367813839
orientation_1,5,9,-7,860.0,2.8063851913922272e-05,7.435256470364987e-05,4.61497367813839
orientation_1,5,9,-7,880.0,2.80671144181116e-05,7.60653643719004e-05,4.61497367813839
orientation_1,5,9,-7,900.0,2.8055733061572448e-05,7.777702114321711e-05,4.61497367813839
orientation_1,5,9,-7,920.0,2.8030362627847242e-05,7.948750943523727e-05,4.61497367813839
orientation_1,5,9,-7,940.0,2.7991636116670155e-05,8.119680369196901e-05,4.61497367813839
orientation_1,5,9,-7,960.0,2.794016538356593e-05,8.290487838897446e-05,4.61497367813839
orientation_1,5,9,-7,980.0,2.7876541752809594e-05,8.461170801091324e-05,4.61497367813839
orientation_1,5,9,-7,1000.0,2.780133663673355e-05,8.63172670981828e-05,4.61497367813839
orientation_1,5,9,-7,1020.0,2.7715102107577877e-05,8.802153020139359e-05,4.61497367813839
orientation_1,5,9,-7,1040.0,2.761837147661104e-05,8.972447190513908e-05,4.61497367813839
orientation_1,5,9,-7,1060.0,2.751165984820368e-05,9.142606682370041e-05,4.61497367813839
orientation_1,5,9,-7,1080.0,2.739546466031833e-05,9.312628960159089e-05,4.61497367813839
orientation_1,5,9,-7,1100.0,2.727026621035934e-05,9.482511491471587e-05,4.61497367813839
orientation_1,5,9,-7,1120.0,2.7136528166164256e-05,9.652251747009577e-05,4.61497367813839
orientation_1,5,9,-7,1140.0,2.6994698063394428e-05,9.821847200713115e-05,4.61497367813839
orientation_1,5,9,-7,1160.0,2.68452077888843e-05,9.991295329766516e-05,4.61497367813839
orientation_1,5,9,-7,1180.0,2.6688474041687068e-05,0.00010160593611173918,4.61497367813839
orientation_1,5,9,-7,1200.0,2.652489880894123e-05,0.00010329739528712044,4.61497367813839
orientation_1,5,9,-7,1220.0,2.6354869823464936e-05,0.00010498730578614025,4.61497367813839
orientation_1,5,9,-7,1240.0,2.6178760972180986e-05,0.00010667564260944571,4.61497367813839
orientation_1,5,9,-7,1260.0,2.599693262859736e-05,0.00010836238042984198,4.61497367813839
orientation_1,5,9,-7,1280.0,2.5809732249131416e-05,0.00011004749435348003,4.61497367813839
orientation_1,5,9,-7,1300.0,2.5617494644492452e-05,0.00011173095941740948,4.61497367813839
orientation_1,5,9,-7,1320.0,2.5420542373588984e-05,0.00011341275061234809,4.61497367813839
orientation_1,5,9,-7,1340.0,2.5219186166897846e-05,0.00011509284309349137,4.61497367813839
orientation_1,5,9,-7,1360.0,2.5013725242407998e-05,0.00011677121196726274,4.61497367813839
orientation_1,5,9,-7,1380.0,2.4804447328823938e-05,0.00011844783069462265,4.61497367813839
orientation_1,5,9,-7,1400.0,2.459163194569735e-05,0.00012012268527884112,4.61497367813839
orientation_1,5,9,-7,1420.0,2.4375541372671864e-05,0.0001217957287761749,4.61497367813839
orientation_1,5,9,-7,1440.0,2.415643616396427e-05,0.00012346695531751008,4.61497367813839
orientation_1,5,9,-7,1460.0,2.3933293124657616e-05,0.0001251363345445913,4.61497367813839
orientation_1,5,9,-7,1480.0,2.371015635946257e-05,0.0001268038417196627,4.61497367813839
orientation_1,5,9,-7,1500.0,2.3483447908540378e-05,0.00012846945569542622,4.61497367813839
orientation_1,5,9,-7,1520.0,2.3254654085658684e-05,0.00013013314179476272,4.61497367813839
orientation_1,5,9,-7,1540.0,2.3023987338894853e-05,0.0001317948856308553,4.61497367813839
orientation_1,5,9,-7,1560.0,2.2791650248639495e-05,0.00013345466498154116,4.61497367813839
orientation_1,5,9,-7,1580.0,2.25578341128363e-05,0.00013511243873025203,4.61497367813839
orientation_1,5,9,-7,1600.0,2.2322050821984012e-05,0.00013676403601751657,4.61497367813839
orientation_1,5,9,-7,1620.0,2.2086509881380998e-05,0.00013842191638823305,4.61497367813839
orientation_1,5,9,-7,1640.0,2.184935092124059e-05,0.0001400735661424511,4.61497367813839
orientation_1,5,9,-7,1660.0,2.1611415381487023e-05,0.000141723123754452,4.61497367813839
orientation_1,5,9,-7,1680.0,2.1372860858620013e-05,0.00014337056646165043,4.61497367813839
orientation_1,5,9,-7,1700.0,2.1133837495246885e-05,0.00014501586617556516,4.61497367813839
orientation_1,5,9,-7,1720.0,2.089449075036352e-05,0.0001466590068133348,4.61497367813839
orientation_1,5,9,-7,1740.0,2.0654957619866443e-05,0.0001482999569834109,4.61497367813839
orientation_1,5,9,-7,1760.0,2.0415384838400784e-05,0.00014993880089307445,4.61497367813839
orientation_1,5,9,-7,1780.0,2.017590138584697e-05,0.00015157554274935312,4.61497367813839
orientation_1,5,9,-7,1800.0,1.993686230563365e-05,0.0001532119761991702,4.61497367813839
orientation_1,5,9,-7,1820.0,1.9697519114844286e-05,0.00015484139680337758,4.61497367813839
orientation_1,5,9,-7,1840.0,1.9458922674458998e-05,0.00015647104709175835,4.61497367813839
orientation_1,5,9,-7,1860.0,1.9220841809119183e-05,0.00015809830792436894,4.61497367813839
orientation_1,5,9,-7,1880.0,1.898339757883849e-05,0.00015972333058754078,4.61497367813839
