Index,hkl,U_g_real,U_g_imag,g_mag
320,"(-7, -2, -1)",-6.282974695761236e-05,-0.0001162619386042,0.8988220452292627
321,"(-7, -1, -2)",-0.0115624700217551,-0.0026544292784161,0.8869297329609083
322,"(-6, -13, 12)",-0.0003385008316048,-3.329232322254998e-05,2.001497032107442
353,"(-4, 2, -4)",0.0133941382336105,0.002795858730822,0.644742970136809
354,"(-4, 3, -5)",-0.0091361385888939,-0.0012550705637841,0.7431894314853194
355,"(-4, 4, -6)",0.005938951327667,0.0015492609089,0.8556002930438888
356,"(-4, 5, -7)",0.0055758314608609,0.0008461443698713,0.9771680964382652
357,"(-4, 6, -8)",0.0037559855716347,0.0012076523943879,1.1048743877887004
358,"(-4, 7, -9)",-0.002237780351553,-0.0003543625180652,1.23681915967566
359,"(-4, 8, -10)",0.0034513004649163,0.001182847318789,1.3717799209584731
360,"(-4, 9, -11)",0.0003928265214696,4.888942124556828e-05,1.5089476353417774
372,"(-3, -12, 12)",-1.9149556451845657e-05,-7.206437743592169e-06,1.799611330209366
373,"(-3, -11, 11)",-0.0007066444592985,-0.0001311525635246,1.656240440643331
383,"(-2, 2, -3)",0.0029120023154358,0.0006363328306071,0.4278001465219444
384,"(-2, 3, -4)",-0.0038387940334713,-0.0004801373347636,0.5524371938943502
385,"(-2, 4, -5)",-0.000145750679678,-0.0004342864271401,0.6858899604792366
386,"(-2, 5, -6)",4.314700880918108e-05,6.201777124347365e-05,0.8238856227834247
387,"(-2, 6, -7)",-0.0010957210245199,5.1698438838080456e-05,0.9644761779468338
388,"(-2, 7, -8)",0.0003134929453756,4.207083956302818e-05,1.1066731103082392
389,"(-2, 8, -9)",0.0007996963375936,9.394277088695464e-05,1.2499282960179634
390,"(-2, 9, -10)",6.641058963535897e-05,4.97953437752001e-06,1.393915497491905
391,"(-2, 10, -11)",-0.000217908211733,-4.14935827523896e-05,1.5384291923792004
392,"(-2, 11, -12)",-0.0001696036703766,-3.032298180698068e-05,1.6833337882415391
393,"(-2, 12, -13)",4.564912888216201e-05,6.03016410254696e-06,1.8285363551653493
394,"(-2, 13, -14)",4.101548547540016e-05,9.175117510271724e-06,1.9739711392373065
397,"(-2, -9, 9)",0.000475643394059,7.073549418255136e-05,1.3437239812986903
398,"(-2, -8, 8)",0.0031692569677186,0.0010338904396397,1.199740886806244
402,"(-1, -13, 14)",-0.0007123456430458,-0.0003655777953158,1.962405381497044
403,"(-1, -12, 13)",-0.0002297440645928,-3.45353271438378e-05,1.816044849716384
18,"(0, -8, 9)",-0.0017225714860792,-0.000351748470381,1.225409942211415
28,"(1, 9, -9)",-0.0009780194519603,-0.0001880569370308,1.3266811013164443
30,"(1, -12, 14)",-0.0001528282218383,-2.3494053137077023e-05,1.869029965802228
52,"(2, -9, 11)",0.0001228737894841,8.16243431925124e-06,1.4473628611460378
70,"(3, 13, -12)",-0.0013832637633204,-0.0004794724604806,1.8964107646214976
75,"(3, -5, 7)",0.0032831813598553,0.0007565365412035,0.921224976580749
109,"(6, 0, 3)",-2.094914577465641e-18,0.0,0.7818329248299047
